[17:38:54] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[17:39:22] [ServerMain/INFO]: Loaded 7 recipes
[17:39:23] [ServerMain/INFO]: Loaded 1272 advancements
[17:39:25] [Server thread/INFO]: Starting minecraft server version 1.20.1
[17:39:25] [Server thread/INFO]: Loading properties
[17:39:25] [Server thread/INFO]: Default game type: SURVIVAL
[17:39:25] [Server thread/INFO]: Generating keypair
[17:39:26] [Server thread/INFO]: Starting Minecraft server on *:25565
[17:39:26] [Server thread/INFO]: Using epoll channel type
[17:39:26] [Server thread/INFO]: Preparing level "world"
[17:39:35] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[17:39:52] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[17:39:52] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:39:52] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:39:52] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:39:52] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:39:52] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[17:39:53] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:39:53] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[17:39:53] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[17:39:53] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:39:53] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[17:39:53] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[17:39:53] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:39:53] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:39:53] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:39:53] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[17:39:53] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[17:39:53] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[17:39:53] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[17:39:53] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[17:39:53] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[17:39:53] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:39:53] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:39:53] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:39:53] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[17:39:53] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[17:39:53] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[17:39:53] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[17:39:53] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[17:39:53] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[17:39:53] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[17:39:53] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[17:39:53] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:39:53] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:39:53] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[17:39:53] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[17:39:53] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:39:53] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[17:39:54] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[17:39:54] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:39:55] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[17:39:55] [Worker-Main-2/INFO]: Preparing spawn area: 2%
[17:39:56] [Worker-Main-2/INFO]: Preparing spawn area: 4%
[17:39:56] [Worker-Main-1/INFO]: Preparing spawn area: 13%
[17:39:57] [Worker-Main-1/INFO]: Preparing spawn area: 20%
[17:39:57] [Worker-Main-2/INFO]: Preparing spawn area: 28%
[17:39:58] [Worker-Main-3/INFO]: Preparing spawn area: 40%
[17:39:58] [Worker-Main-3/INFO]: Preparing spawn area: 54%
[17:39:59] [Worker-Main-2/INFO]: Preparing spawn area: 68%
[17:39:59] [Worker-Main-2/INFO]: Preparing spawn area: 79%
[17:40:00] [Worker-Main-2/INFO]: Preparing spawn area: 89%
[17:40:00] [Server thread/INFO]: Time elapsed: 25301 ms
[17:40:00] [Server thread/INFO]: Done (33.884s)! For help, type "help"
[17:40:03] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 2254ms or 45 ticks behind
